player,JerseyNumber,nation,pos,age,min,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,interceptions,tkl_int,clearances,errors,game_id,player_id,team_name
Caiya Hanks,7,us USA,FW,20-184,74,2,2,2,0,0,1,2,50.0,1,1,0,1,0,2,0,0,475a847a,7Caiya Hanks475a847a,Portland Thorns FC
Alexa Spaanstra,77,us USA,FW,25-056,16,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,475a847a,77Alexa Spaanstra475a847a,Portland Thorns FC
Reilyn Turner,66,us USA,FW,22-163,74,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,475a847a,66Reilyn Turner475a847a,Portland Thorns FC
Pietra Tordin,19,us USA,FW,20-364,16,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,475a847a,19Pietra Tordin475a847a,Portland Thorns FC
Hina Sugita,8,jp JPN,LM,28-057,90,0,0,0,0,0,0,0,0.0,0,4,0,4,1,1,4,0,475a847a,8Hina Sugita475a847a,Portland Thorns FC
Deyna Castellanos,10,ve VEN,CM,25-345,58,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,475a847a,10Deyna Castellanos475a847a,Portland Thorns FC
Jessie Fleming,21,ca CAN,CM,27-018,32,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,475a847a,21Jessie Fleming475a847a,Portland Thorns FC
Olivia Moultrie,13,us USA,RM,19-193,90,6,5,1,3,2,4,6,66.7,2,1,0,1,1,7,0,0,475a847a,13Olivia Moultrie475a847a,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-088,90,2,1,0,1,1,0,3,0.0,3,3,0,3,3,5,6,0,475a847a,17Sam Coffey475a847a,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-041,90,4,4,3,1,0,2,2,100.0,0,4,0,4,2,6,5,0,475a847a,2Reyna Reyes475a847a,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-150,90,3,2,3,0,0,2,2,100.0,0,1,1,0,1,4,5,0,475a847a,5Isabella Obaze475a847a,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-082,90,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,0,475a847a,16Samantha Hiatt475a847a,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-012,90,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,2,0,475a847a,20Kaitlyn Torpey475a847a,Portland Thorns FC
Mackenzie Arnold,18,au AUS,GK,31-032,90,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,475a847a,18Mackenzie Arnold475a847a,Portland Thorns FC
Hannah Betfort,30,us USA,FW,26-084,86,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,2,0,475a847a,30Hannah Betfort475a847a,North Carolina Courage
Brooklyn Courtnall,24,ca CAN,FW,22-091,4,2,1,0,0,2,1,1,100.0,0,0,0,0,0,2,1,0,475a847a,24Brooklyn Courtnall475a847a,North Carolina Courage
Meredith Speck,25,us USA,LW,32-056,61,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,475a847a,25Meredith Speck475a847a,North Carolina Courage
Manaka Matsukubo,34,jp JPN,LW,20-244,29,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,475a847a,34Manaka Matsukubo475a847a,North Carolina Courage
Ashley Sanchez,2,us USA,RW,26-013,90,4,3,0,1,3,1,1,100.0,0,3,0,3,3,7,0,0,475a847a,2Ashley Sanchez475a847a,North Carolina Courage
Shinomi Koyama,20,jp JPN,LM,20-057,70,2,2,1,1,0,1,2,50.0,1,1,1,0,0,2,0,0,475a847a,20Shinomi Koyama475a847a,North Carolina Courage
Riley Jackson,16,us USA,LM,19-117,20,5,4,4,0,1,4,5,80.0,1,1,0,1,0,5,0,0,475a847a,16Riley Jackson475a847a,North Carolina Courage
Denise O'Sullivan,10,ie IRL,CM,31-053,90,9,7,2,5,2,6,6,100.0,0,3,0,3,1,10,3,0,475a847a,10Denise O'Sullivan475a847a,North Carolina Courage
Jaedyn Shaw,19,us USA,RM,20-129,86,3,1,1,2,0,1,2,50.0,1,0,0,0,1,4,0,0,475a847a,19Jaedyn Shaw475a847a,North Carolina Courage
Brianna Pinto,8,us USA,RM,24-309,4,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,475a847a,8Brianna Pinto475a847a,North Carolina Courage
Talia Staude,12,us USA,LB,23-343,90,1,0,0,1,0,1,2,50.0,1,2,2,0,1,2,2,0,475a847a,12Talia Staude475a847a,North Carolina Courage
Malia Berkely,7,us USA,CB,27-044,90,0,0,0,0,0,0,0,0.0,0,5,2,3,0,0,4,0,475a847a,7Malia Berkely475a847a,North Carolina Courage
Kaleigh Kurtz,3,us USA,CB,27-201,90,2,1,1,1,0,0,0,0.0,0,3,1,2,2,4,10,0,475a847a,3Kaleigh Kurtz475a847a,North Carolina Courage
Ryan Williams,13,us USA,RB,29-034,90,4,1,1,2,1,3,3,100.0,0,6,3,3,1,5,6,0,475a847a,13Ryan Williams475a847a,North Carolina Courage
Casey Murphy,1,us USA,GK,28-338,90,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,475a847a,1Casey Murphy475a847a,North Carolina Courage
