player,#,nation,pos,age,min,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,er,game_id,player_id
Kimmi Ascanio,17,us USA,FW,17-109,77,1,0,0,1,0,1,1,100.0,0,0,0,0,2,3,1,0,6a832d3c,17Kimmi Ascanio6a832d3c
Kyra Carusa,19,ie IRL,FW,29-177,13,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,6a832d3c,19Kyra Carusa6a832d3c
Maria Sanchez,7,mx MEX,LW,29-079,43,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6a832d3c,7Maria Sanchez6a832d3c
Kristen McNabb,14,us USA,"CB,LW",31-023,47,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,6a832d3c,14Kristen McNabb6a832d3c
Delphine Cascarino,20,fr FRA,RW,28-094,86,2,1,1,1,0,2,2,100.0,0,1,0,1,1,3,0,0,6a832d3c,20Delphine Cascarino6a832d3c
Makenzy Doniak,15,us USA,RW,31-074,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,6a832d3c,15Makenzy Doniak6a832d3c
Gia Corley,11,de GER,AM,22-355,45,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,6a832d3c,11Gia Corley6a832d3c
Adriana Leon,9,ca CAN,AM,32-220,45,1,1,0,0,1,1,2,50.0,1,0,0,0,0,1,0,0,6a832d3c,9Adriana Leon6a832d3c
Kenza Dali,10,fr FRA,DM,33-283,90,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,1,0,6a832d3c,10Kenza Dali6a832d3c
Savannah McCaskill,21,us USA,DM,28-283,90,0,0,0,0,0,0,1,0.0,1,2,2,0,1,1,0,0,6a832d3c,21Savannah McCaskill6a832d3c
Perle Morroni,75,fr FRA,LB,27-207,90,1,0,1,0,0,1,1,100.0,0,2,0,2,0,1,0,0,6a832d3c,75Perle Morroni6a832d3c
Trinity Armstrong,3,us USA,CB,17-289,90,0,0,0,0,0,0,0,,0,2,2,0,0,0,4,0,6a832d3c,3Trinity Armstrong6a832d3c
Kennedy Wesley,12,us USA,CB,24-063,40,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,6a832d3c,12Kennedy Wesley6a832d3c
Hanna Lundkvist,6,se SWE,RB,22-297,90,2,1,1,0,1,1,1,100.0,0,0,0,0,1,3,1,0,6a832d3c,6Hanna Lundkvist6a832d3c
Kailen Sheridan,1,ca CAN,GK,29-298,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6a832d3c,1Kailen Sheridan6a832d3c
Reilyn Turner,66,us USA,FW,22-205,69,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6a832d3c,66Reilyn Turner6a832d3c
Pietra Tordin,19,us USA,FW,21-041,21,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,6a832d3c,19Pietra Tordin6a832d3c
Deyna Castellanos,10,ve VEN,LW,26-022,78,1,1,0,0,1,0,4,0.0,4,1,0,1,1,2,0,0,6a832d3c,10Deyna Castellanos6a832d3c
Marie-Yasmine Alidou,26,ca CAN,LW,30-012,12,1,0,0,0,1,1,1,100.0,0,1,0,1,0,1,0,0,6a832d3c,26Marie-Yasmine Alidou6a832d3c
Jessie Fleming,21,ca CAN,RW,27-060,69,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0,6a832d3c,21Jessie Fleming6a832d3c
Payton Linnehan,15,us USA,RW,24-046,21,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,6a832d3c,15Payton Linnehan6a832d3c
Olivia Moultrie,13,us USA,AM,19-235,90,2,1,2,0,0,2,4,50.0,2,1,0,1,2,4,0,0,6a832d3c,13Olivia Moultrie6a832d3c
Hina Sugita,8,jp JPN,DM,28-099,90,5,3,3,0,2,1,2,50.0,1,2,0,2,1,6,4,0,6a832d3c,8Hina Sugita6a832d3c
Sam Coffey,17,us USA,DM,26-130,90,3,1,1,1,1,0,0,,0,0,0,0,0,3,1,0,6a832d3c,17Sam Coffey6a832d3c
Reyna Reyes,2,mx MEX,LB,24-083,69,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0,6a832d3c,2Reyna Reyes6a832d3c
Mallie McKenzie,29,us USA,LB,24-178,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6a832d3c,29Mallie McKenzie6a832d3c
Jayden Perry,24,us USA,CB,24-079,90,1,0,0,1,0,0,0,,0,0,0,0,0,1,7,0,6a832d3c,24Jayden Perry6a832d3c
Samantha Hiatt,16,us USA,CB,27-124,90,1,1,0,0,1,0,0,,0,1,1,0,1,2,2,0,6a832d3c,16Samantha Hiatt6a832d3c
Isabella Obaze,5,dk DEN,RB,22-192,45,2,2,1,1,0,0,0,,0,0,0,0,1,3,2,0,6a832d3c,5Isabella Obaze6a832d3c
Caiya Hanks,7,us USA,RB,20-226,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6a832d3c,7Caiya Hanks6a832d3c
Bella Bixby,1,us USA,GK,29-171,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,6a832d3c,1Bella Bixby6a832d3c
